Region,Address,UnitNo,PostalCode,Lat,Long,,,
Central,"100 AM100 TRAS STREET",,079027,1.274929,103.843549,,,
Central,"313 @ SOMERSET 313 ORCHARD ROAD",,238895,1.301177,103.8388679,,,
Central,"AMOY STREET FOOD CENTRETELOK AYER STREET",,069111,1.28097,103.8477899,,,
Central,"ANG MO KIO COMMUNITY CLUB795 ANG MO KIO AVENUE 1",,569976,1.366953,103.84042,,,
Central,"ANG MO KIO POLYCLINICS723 ANG MO KIO AVENUE 8",#01-4136,560723,1.3724019,103.847305,,,
Central,"ANG MO KIO TOWN COUNCIL161 ANG MO KIO AVENUE 4",,569842,1.374684,103.845664,,,
Central,"AXS LOBBY@SULTAN LINK - STATION 161 MOHAMED SULTAN ROAD",#01-500,560161,1.374125,103.839812,,,
Central,"AXS LOBBY@SULTAN LINK - STATION 261 MOHAMED SULTAN ROAD",,567226,1.366851,103.839876,,,
Central,"BISHAN-TOA PAYOH TOWN COUNCIL197 BISHAN STREET 13",,560342,1.3647,103.8483959,,,
Central,"BISHAN-TOA PAYOH TOWN COUNCIL OFFICE125A LORONG 2 TOA PAYOH",,560532,1.3737839,103.854658,,,
Central,"CHEERS ANG MO KIO407 ANG MO KIO AVENUE 10",,560715,1.371011,103.8459419,,,
Central,"CHEERS STAMFORD COURT61 STAMFORD ROAD",,018960,1.2789419,103.8512186,,,
Central,"CHIN SWEE HDB BRANCH OFFICE54 CHIN SWEE ROAD",#01-11,239001,1.2912837,103.8394398,,, 
Central,"CITIBANK BUGIS JUNCTION200 VICTORIA STREET LEVEL 1",#01-11,239001,1.2912837,103.8394398,,,
Central,"CITIBANK GREAT WORLD CITY1 KIM SENG PROMENADE",,169982,1.288766,103.827528,,,
Central,"CITIBANK SHAW HOUSE350 ORCHARD ROAD",,570514,1.350139,103.849757,,,
Central,"CITIBANK TAKASHIMAYA391 ORCHARD ROAD",,570512,1.349908,103.849457,,,
Central,"CITY SQUARE MALL - STATION 1180 KITCHENER ROAD",,579837,1.349971,103.848794,,,
Central,"CITY SQUARE MALL - STATION 2180 KITCHENER ROAD",,579837,1.349971,103.848794,,,
Central,"CPF BISHAN BRANCH - STATION 13 BISHAN PLACE",,579827,1.350614,103.8481259,,,
Central,"DBS HDB CENTRE520 LORONG 6 TOA PAYOH",,310109,1.341253,103.846346,,,
Central,"DBS MBFC TOWER 3 - STATION 212 MARINA BOULEVARD LEVEL 3",,571150,1.344551,103.855794,,,
Central,"DBS PENINSULA PLAZA111 NORTH BRIDGE ROAD",,310178,1.333295,103.8491354,,,
Central,"DBS SERANGOON GARDEN VILLAGE1 MAJU AVENUE",,310190,1.3315682,103.8484981,,,
Central,"GIANT ANG MO KIO181 ANG MO KIO AVENUE 5",#01-585,570197,1.3490119,103.8508937,,,
Central,"GV GRAND GREAT WORLD CITY1 KIM SENG PROMENADE",,310260,1.3321,103.857435,,,
Central,"GV MARINA SQUARE5A RAFFLES AVENUE",,314079,1.334377,103.84956,,,
Central,"GV PLAZA SINGAPURA68 ORCHARD ROAD",,570282,1.358271,103.844651,,,
Central,"GV TIONG BAHRU PLAZA302 TIONG BAHRU ROAD",#01-134,311125,1.337527,103.845774,,,
Central,"ICON VILLAGE12 GOPENG STREET",,319758,1.3406079,103.8453817,,,
Central,"IECON ACTIVE SUPERMARKET74 WHAMPOA DRIVE",,188024,1.3003191,103.8557365,,,
Central,"IECON BAN SENG PROVISIONS116 TOA PAYOH LORONG 2",,188022,1.30031,103.8557469,,,
Central,"IECON CHUA YAN KEE49 TANGLIN HALT ROAD",,188067,1.299629,103.854302,,,
Central,"IECON FAMILY STORE632 ANG MO KIO AVENUE 4",,188067,1.299629,103.854302,,,
Central,"IECON HAO GUAN MINI MART505 ANG MO KIO AVENUE 8",,588996,1.339001,103.778958,,,
Central,"IECON ONG JIT SANG203 TOA PAYOH NORTH",,299939,1.3363192,103.8334007,,,
Central,"IECON SAN CHUNG MINIMART24 BENDEMEER ROAD",,238843,1.3019594,103.8398305,,,
Central,"IECON TAY YONG HUAT128 ANG MO KIO AVENUE 3",,238843,1.3019594,103.8398305,,,
Central,"IECON TONG SENG HUAT234 TOA PAYOH LORONG 8",,079120,1.273228,103.8448952,,,
Central,"IECON WEI ANN107 ANG MO KIO AVE 4",,039593,1.292937,103.857002,,,
Central,"IECON YEO SOON LAI MINIMART554 ANG MO KIO AVENUE 10",,039593,1.292937,103.857002,,,
Central,"IEZHEN MINIMART443 ANG MO KIO AVENUE 10",,039593,1.292937,103.857002,,,
Central,"JALAN BESAR STADIUM100 TYRWHITT ROAD",,039593,1.292937,103.857002,,,
Central,"MAYBANK ROBINSON16 RAFFLES QUAY",#01-741,560407,1.361909,103.855275,,,
Central,"MILLENIA WALK9 RAFFLES BOULEVARD",,209266,1.312644,103.860271,,,
Central,"O MOCHI CAKE AND BAKERY PTE LTD632 ANG MO KIO AVENUE 4",#01-03,178892,1.293942,103.849996,,,
