Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Component/s,Due Date,Votes,Description,Environment,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Organizations),Custom field (Parent Link),Custom field (Raised during),Custom field (Rank),Custom field (Story Points),Custom field (Team),Custom field (Test sessions),Custom field (Testing status),Custom field ([CHART] Date of First Response)
Student Module,SUB-24,10023,Epic,To Do,SUB,SUB,software,admin,,,Medium,,,admin,admin,23-10-2016 08:08,09-11-2016 15:08,13-02-2017 08:54,,Web Administration,,0,,,admin,,,,,,,,,{},ghx-label-6,,iBeacon Module,To Do,,,,0|hzzzzz:,,,,Not started,
Guardian Module,SUB-25,10024,Epic,To Do,SUB,SUB,software,admin,,,Medium,,,admin,admin,23-10-2016 08:09,12-12-2016 21:55,13-02-2017 08:54,,Web Administration,,0,,,admin,,,,,,,,,{},ghx-label-8,,IOS&Android - Parent App,To Do,,,,0|i00007:,,,,Not started,
Bus Module,SUB-26,10025,Epic,To Do,SUB,SUB,software,admin,,,Medium,,,admin,admin,23-10-2016 08:10,09-11-2016 15:52,13-02-2017 08:54,,Web Administration,,0,,,admin,,,,,,,,,{},ghx-label-2,,3rd Party API Integration,To Do,,,,0|i0000f:,,,,Not started,
Route Module,SUB-27,10026,Epic,To Do,SUB,SUB,software,admin,,,Medium,,,admin,admin,23-10-2016 08:11,12-12-2016 21:19,13-02-2017 08:54,,Web Administration,,0,,,admin,,,,,,,,,{},ghx-label-12,,Web Admin - Communication,To Do,,,,0|i0000n:,,,,Not started,
Route Planner,SUB-28,10027,Epic,To Do,SUB,SUB,software,admin,,,Medium,,,admin,admin,23-10-2016 08:20,08-12-2016 08:40,13-02-2017 08:54,,Web Administration,,0,,,admin,,,,,,,,,{},ghx-label-11,,Web Admin - Route Planning ,To Do,,,,0|i0000v:,,,,Not started,
Guardian App,SUB-29,10028,Epic,To Do,SUB,SUB,software,admin,,,Medium,,,admin,admin,23-10-2016 08:22,12-12-2016 21:05,13-02-2017 08:54,,Guardian App,,0,,,admin,,,,,,,,,{},ghx-label-5,,Web Admin - Calendar,To Do,,,,0|i00013:,,,,Not started,
Bus Coordinator App,SUB-30,10029,Epic,To Do,SUB,SUB,software,admin,,,Medium,,,admin,admin,23-10-2016 08:23,12-12-2016 21:50,13-02-2017 08:54,,Bus Coordinator App,,0,,,admin,,,,,,,,,{},ghx-label-14,,Android - Bus Assistant App ,To Do,,,,0|i0001b:,,,,Not started,
Dashboard,SUB-31,10030,Epic,To Do,SUB,SUB,software,admin,,,Medium,,,admin,admin,23-10-2016 08:24,12-12-2016 21:04,13-02-2017 08:54,,Web Administration,,0,,,admin,,,,,,,,,{},ghx-label-3,,Web Admin - Route Execution,To Do,,,,0|i0000z:,,,,Not started,
Role Based Access,SUB-32,10031,Epic,To Do,SUB,SUB,software,admin,,,Medium,,,admin,admin,23-10-2016 08:24,23-10-2016 10:02,13-02-2017 08:54,,Web Administration,,0,,,admin,,,,,,,,,{},ghx-label-4,,Role Based Access,To Do,,,,0|i0001r:,,,,Not started,
Ability to add/delete student details ,SUB-33,10032,Story,To Do,SUB,SUB,software,admin,,,High,,ben.tee,admin,admin,23-10-2016 09:34,12-12-2016 21:57,06-01-2017 11:07,,Bus Route Planning,,0,"As a School Transport Coordinator
I Want to add/delete the address details of all students taking bus routes to and from school 
So That the bus route has accurate address details of each student 

The above functionality will be deemed acceptable when the following criteria has been satisfied

*Acceptance Criteria - 1* 
All student’s pick up and drop off address are identified on the system with the following details 
-	Student’s full name 
-	Unit number
-	Street number
-	Street name
-	Condominium name 
-	Suburb
-	Postcode 
-	Student mobile *
-	Student email 

*Acceptance criteria – 2 *
If the student has alternate residential address also identify on the system 

*Acceptance criteria – 3*
If the student has alternate pick up or drop off address also identify on the system 

*Acceptance criteria – 4*
Class (Pre K, KG1, KG2, Grade 1-12) 
-	Teacher Name 
-	Teacher Assistant Name 1
-	Teachers Assistant Name 2 

*Acceptance criteria – 5*
Child Photo (not applicable for summer camp bus routes)

*Acceptance criteria – 6 *
Child Notes 
-	Motion Sickness/illness/Other

*Acceptance criteria – 7*
Ability to delete the address details of the student 


",,admin,,,,,,,,,{},,SUB-28,,,,,,0|i00027:,,,,Not started,
